humid,temp,press,gas,tvoc,altitude,eCO2,H2,quality
58.25,28.25,1010.5,56.499,22.9,22.9,22.9,22.9,good
58.17,28.26,1010.5,56.537,22.92,22.92,22.92,22.92,good
58.14,28.26,1010.5,56.725,22.96,22.96,22.96,22.96,good
58.19,28.27,1010.49,56.574,23,23,23,23,good
58.23,28.28,1010.48,56.387,23.05,23.05,23.05,23.05,good
58.2,28.28,1010.48,56.35,23.1,23.1,23.1,23.1,good
58.12,28.29,1010.48,56.499,23.12,23.12,23.12,23.12,good
58.07,28.3,1010.46,56.537,23.21,23.21,23.21,23.21,good
58.03,28.3,1010.46,56.387,23.23,23.23,23.23,23.23,good
58,28.3,1010.46,56.424,23.28,23.28,23.28,23.28,good
58.01,28.31,1010.46,56.387,23.28,23.28,23.28,23.28,good
57.99,28.31,1010.45,56.35,23.3,23.3,23.3,23.3,good
58,28.31,1010.45,56.276,23.34,23.34,23.34,23.34,good
